epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4713,1.07439,3.0932,1.23403,0.09301,0.11287,0.01544,0.00863,1.1759,135.35,1.42579,7e-05,7e-05,0.09307
2,24.4164,0.91122,1.89094,1.12556,0.00486,0.08658,0.01131,0.00895,1.21737,214.541,1.28485,0.00014703,0.00014703,0.085147
3,34.1609,0.88689,1.5251,1.07775,0.13134,0.3251,0.16443,0.13102,0.99952,61.7071,1.18756,0.000220892,0.000220892,0.0772209
4,43.8991,0.82616,1.27807,1.05019,0.38687,0.36925,0.27411,0.20802,1.03587,20.6547,1.21836,0.000291586,0.000291586,0.0692916
5,53.7115,0.81463,1.15052,1.0301,0.52777,0.36092,0.3618,0.28066,0.98726,7.04051,1.22505,0.000359112,0.000359112,0.0613591
6,63.3114,0.80438,1.04262,0.99845,0.3634,0.59542,0.4274,0.33788,0.9616,3.73509,1.17304,0.00042347,0.00042347,0.0534235
7,72.7859,0.75117,0.94165,0.99769,0.67616,0.43681,0.52064,0.4049,0.9004,2.14938,1.14627,0.00048466,0.00048466,0.0454847
8,81.9088,0.77043,0.90324,1.02628,0.46952,0.49045,0.51959,0.40381,0.96399,1.87244,1.20933,0.000542682,0.000542682,0.0375427
9,91.1892,0.7835,0.91183,1.02532,0.54053,0.45925,0.50083,0.39323,0.97231,1.86303,1.23223,0.000597536,0.000597536,0.0295975
10,99.9405,0.77275,0.84858,1.00965,0.46864,0.47592,0.49643,0.38397,1.00682,1.96015,1.23674,0.000649222,0.000649222,0.0216492
11,108.679,0.7196,0.82086,0.99839,0.36811,0.58665,0.49093,0.38003,0.9363,1.862,1.19037,0.00069774,0.00069774,0.0136977
12,117.519,0.71911,0.79744,0.99913,0.56061,0.60873,0.54386,0.41299,0.93652,1.50706,1.2243,0.00074309,0.00074309,0.00574309
13,126.636,0.73551,0.77474,1.00524,0.46895,0.64695,0.51957,0.39701,0.9152,1.5443,1.21254,0.0007624,0.0007624,0.0007624
14,135.428,0.7123,0.78993,0.98292,0.57243,0.61086,0.60905,0.45128,0.9411,1.45663,1.24952,0.0007426,0.0007426,0.0007426
